序号,姓名,英文/拼音,性别,国籍,机构名称,专业背景,类别,合作内容,职务
437,郭冠敏,,/,中国,,,企业,,网易UEDC（用户体验设计中心）设计总监
438,常鑫,,/,中国,,,企业,,支付宝设计事业部-用户生态设计团队负责人
439,李玥,,/,中国,,,企业,,"阿里巴巴IoT事业部，体验设计专家
阿里巴巴UCAN设计大会，讲师"
441,赖集佳,,/,中国,,,企业,,阿里云体验设计专家
442,Aldrich Huang,黄彦嘉,男,中国（台湾）,China(Taiwan),,企业,2019初评评委,"美国UXTesting 联合创始人、CEO
CEO of UXTesting.io (U.S)"
443,Yoav Friedman,,/,以色列,,,企业,,"Head, Research & Innovation Authority"
444,Kinya Tagawa,田川欣哉,/,日本,,,企业,,Takram设计创新公司：Managing Partner、Director、Design Engineer、Hon.Fellow.RCA
445,Zijun Zhao,赵子骏,/,中国,,,企业,,Design Engineer of Takram
446,Taku Satoh,佐藤卓,/,日本,,,企业,,株式会社 TSDO
447,Satoko Yokoyama,横山聪子,/,日本,,,企业,,株式会社 TSDO：Manager
448,Tomoyuki Minowa,箕轮知之,/,日本,,,企业,,株式会社 TSDO
449,Hiromi Kanai,金井宏水,/,日本,,,协会,,Japan Industrial Designers' Association:Secretariat
450,Masashi Sano,佐野正,/,日本,,,企业,,Product designer:Design director
454,Michael T Lai,赖祖杰,男,美国,,,企业,2019复评评委,"唐硕体验创新咨询 合伙人& X学院院长   
Partner and Dean of X Academy, TANG Consulting"
459,黄俊辉,,男,中国,中国中车股份有限公司,,企业,2019初评评委,"中国中车股份有限公司，副总工程师
Deputy Chief Engineer， CRRC"
460,Tapani Hyvönen,,男,芬兰,Hyvonen Design,,企业,2019初评评委,"Hyvonen Design，CEO
CEO, Hyvonen Design"
461,Manabu Inoue,,男,日本,佳能,,企业,2019总决赛评委,"佳能设计中心产品设计部总经理
General Manager of Design Center, Products Design Div.1, CANON"
463,范育芳,,男,中国,汉度设计集团,,企业,,汉度设计集团总裁
464,朱媛,,男,中国,,,协会,,
465,李莎,,男,中国,网易设计,,协会,,网易设计全国副主管
476,单华红,,女,中国,浙江省工业设计协会,,协会,,浙江省工业设计协会副秘书长
479,薛萌,,男,日本,东京,,协会,,JDP (G-mark)          日本设计振兴会项目经理
480,Severin Filek,,男,奥地利,维也纳,,协会,,Design Austria        奥地利设计协会主任
481,叶智荣,,男,中国（香港）,香港,,协会,,香港设计商会主席
482,Mark Illi,,男,瑞士,苏黎世,,协会,,Swiss Design Association           瑞士设计协会理事会成员
484,Ben Griffin,,男,英国,,,企业,,“创新英国”项目设计负责人
485,Laura Traldi,,男,意大利,,,媒体,,"Journalist, Founder & Editor designatlarge.it"
486,Mario Boselli,,男,意大利,,,企业,,意大利国家时装商会会长
487,Mat Hunter,,男,英国,,,协会,,Plus X联合首席执行官
491,Paul Priestman,,男,英国,,,企业,,英国普睿谷设计公司总裁
492,Chiaki Murata,,男,英国,,,企业,,产品设计师，设计制作人| Hers设计公司代表董事。
495,Tago Manabu,,男,日本,,,企业,复评评委,艺术总监/设计师| MTDO Inc.代表
496,时晓曦,,男,中国,,,企业,复评评委,2-LA Design 创意总监
498,吴卓浩,,男,中国,,,企业,,Mr. HOW AI创造力训练营创始人
499,张春晖,,男,中国,,,企业,,阿里巴巴副总裁
500,Adrien NAZEZ,,男,法国,,,企业,,百空艺术设计咨询（上海）有限公司合伙人
501,廖翔,,男,中国,,,媒体,,视觉同盟主编
506,林敬亭,,男,中国,,,协会,,福建省工业设计协会秘书长
511,Julian Grice,,男,英国,,,奖项/组委会,,英国设计基金
516,邵景峰,,男,中国,,,企业,,上汽集团技术中心副总设计师兼全球设计总监
517,朝仓重德,,男,日本,,,企业,,Gk设计集团股份有限公司总裁
519,胡志鹏,,男,中国,,,企业,,网易副总裁
520,Moriz Ludwig,,男,德国,,,企业,,Design Affair 中国区总经理
521,HIROKI KITAGAWA,,男,日本,,,企业,,日立集团研发中心总经理
538,蒋春晖,,女,中国,,,企业,,海尔集团创新设计中心总监
539,李剑叶,,男,中国,,,企业,,阿里巴巴首席工业设计师
541,蹤雪梅,,女,中国,,,企业,,江苏徐工工程机械研究院有限公司 总经理助理
551,Ramos Pina de Abreu Tiago Luis,,男,葡萄牙,,,企业,,TCL Electronics，X-LAB Design Innovation Head
552,Sontaya pansupa,,男,泰国,Group10 studio,,企业,,Jewelry Design Director
553,Ghadimi  arsalan,,男,伊朗,独立设计师,,企业,,product designer
554,Ruder Novak-Mikulic,,男,克罗地亚,独立设计师,,企业,,product designer
555,Singgih S Kartono,,男,印度尼西亚,独立设计师,,企业,,Director of Spedagi
556,杨光,,男,中国,,,企业,,阿里巴巴设计委员会委员长
558,Doug Walson,,男,美国,,,企业,,微软前设计总监
559,李杰,,男,中国,,,媒体,,设计杂志主编
560,胡晓,,男,中国,,,协会,,IXDA主席
561,常冰,,男,中国,,,企业,,哪吒汽车设计总监
562,李思卫,,男,中国,,,媒体,,福布斯中国区总裁
563,方晓风,,男,中国,,,媒体,,装饰杂志主编
565,赵业,,男,中国,,,企业,,华为UCD中心部长
568,Nicolas Cinguino,,男,法国,,,企业,,blank合伙人
572,帕特里克·吕西安（Patrick Lucien lapoule）,,男,法国,,,企业,,法国国家生态保护与材料循环利用协会共同创办人
573,Anna Maislinge,,女,奥地利,,,企业,,IN PRETTY GOOD SHAPE创始人
579,Allan Chochinov,,男,美国,,,杂志,,Core77联合创始人
580,Cristian Confalonieri,,男,意大利,,,企业,,Studiolabo联合创始人/创意总监
582,Fabien Grégoire,,男,法国,,,企业,,品牌设计顾问
583,Adrian Jankowiak,,男,波兰,,,协会,,内罗毕设计周创始人
585,Ilgaz Kuruyazici,,男,土耳其,,,企业,,Future-ist design&Consultancy 创始人
586,Fatih Mintas,,男,土耳其,,,企业,,Silverline Appliances 产品经理
587,Balkrishna Mahajan,,男,印度,,,企业,,Ticket Design创始人
588,Jean Christophe NAOUR,,男,法国,,,企业,,三星首席UX/UI设计师
589,Kota Nezu,,男,日本,,,企业,,"znug design,inc.CEO"
590,Beau Oyler,,男,美国,,,企业,,Enlisted Design公司CEO
591,Brian Roderman,,男,美国,,,企业,,IN2 Innovation主席兼首席创新官
593,Russ Shaw,,男,英国,,,协会,,伦敦科技周联合创始人
594,Mathias Schasché,,男,奥地利,,,企业,,RDD design network 工业设计师
595,Sarang Sheth,,男,印度,,,媒体,,Yanko Design主编
596,Marina Toeters,,女,荷兰,,,企业,,Fashion Tech Farm联合创始人
597,Stéphane Thirouin,,男,法国,,,企业,,Williwaw Fan公司 CCO
598,James Vanderpan,,男,加拿大,,,企业,,Cava公司设计主管
600,Fenoson Zafimahova,,男,肯尼亚,,,企业,,Design + Industry Pty Ltd创意总监
